"","species","decimallongitude","decimallatitude"
"212","Sphyrna lewini",109.25,-27.75
"213","Sphyrna lewini",153.75,-29.75
"214","Sphyrna lewini",-74.8416671753,35.6583347321
"215","Sphyrna lewini",-73.2402,39.828
"216","Sphyrna lewini",13.09401431,-7.877166667
"217","Sphyrna lewini",114.1,-21.8
"218","Sphyrna lewini",146.1289,-17.9533
"219","Sphyrna lewini",146.35,-17.85
"220","Sphyrna lewini",146.25,-15.25
"221","Sphyrna lewini",178.5362,-18.1595333
"222","Sphyrna lewini",93,10
"223","Sphyrna lewini",-72.2323,39.6655
"224","Sphyrna lewini",146.1083,-17.9404
"225","Sphyrna lewini",-72.3121,39.2383
"226","Sphyrna lewini",34.8627,26.3027
"227","Sphyrna lewini",153.75,-30.75
"228","Sphyrna lewini",113.65,-22.275
"229","Sphyrna lewini",153.75,-23.75
"230","Sphyrna lewini",151.11946,-3.24758
"231","Sphyrna lewini",151.25,-35.25
"232","Sphyrna lewini",144.05,-8.7
"233","Sphyrna lewini",117.25,-35.25
"234","Sphyrna lewini",112.75,-21.75
"235","Sphyrna lewini",-74.7666664124,35.5666656494
"236","Sphyrna lewini",-72.0818,40.5769
"237","Sphyrna lewini",114.25,-29.25
"238","Sphyrna lewini",146.375,-18.05
"239","Sphyrna lewini",113.625,-22.35
"240","Sphyrna lewini",146.55,-18.1
"241","Sphyrna lewini",178.53555,-18.16295
"242","Sphyrna lewini",114.15,-22.1
"243","Sphyrna lewini",114.225,-22.125
"244","Sphyrna lewini",154.25,-27.75
"245","Sphyrna lewini",153.75,-29.25
"246","Sphyrna lewini",178.5375833,-18.16075
"247","Sphyrna lewini",113.75,-31.25
"248","Sphyrna lewini",146.1916,-17.9872
"249","Sphyrna lewini",-89.7583312988,28.2583341599
"250","Sphyrna lewini",114.375,-22.2
"251","Sphyrna lewini",-72.1049,39.3144
"252","Sphyrna lewini",114.125,-22.125
"253","Sphyrna lewini",-75.8418,35.0349
"254","Sphyrna lewini",113.625,-22.175
"255","Sphyrna lewini",147.75,-17.75
"256","Sphyrna lewini",146.625,-18.1
"257","Sphyrna lewini",-78.7916679382,31.9083328247
"258","Sphyrna lewini",113.625,-22.625
"259","Sphyrna lewini",143.28373,-10.77301
"260","Sphyrna lewini",-71.9507,40.5507
"261","Sphyrna lewini",113.65,-22.25
"262","Sphyrna lewini",114.325,-22.125
"263","Sphyrna lewini",114.125,-21.775
"264","Sphyrna lewini",-77.9240036011,33.9109992981
"265","Sphyrna lewini",153.65,-28.11667
"266","Sphyrna lewini",113.75,-35.25
"267","Sphyrna lewini",-160.0061019,-0.3652224
"268","Sphyrna lewini",148.25,-14.75
"269","Sphyrna lewini",146.804,-19.1413
"270","Sphyrna lewini",146.375,-18.075
"271","Sphyrna lewini",-156.975942,21.215533
"272","Sphyrna lewini",113.75,-29.75
"273","Sphyrna lewini",35.8618,24.9284
"274","Sphyrna lewini",-162.103973389,5.54049015045
"275","Sphyrna lewini",146.1286,-17.9625
"276","Sphyrna lewini",-75.5666656494,34.625
"277","Sphyrna lewini",-162.379226685,6.39851999283
"278","Sphyrna lewini",-159.988807,-0.363532
"279","Sphyrna lewini",-79.1299972534,33.2910003662
"280","Sphyrna lewini",114.275,-22.125
"281","Sphyrna lewini",178.5353167,-18.15985
"282","Sphyrna lewini",146.575,-18.1
"283","Sphyrna lewini",113.625,-22.575
"284","Sphyrna lewini",146.0876,-17.996
"285","Sphyrna lewini",-79.1166648865,31.3249998093
"286","Sphyrna lewini",112.25,-30.75
